dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
02/19/2023 18:52:17,1676850737.0,160692000.0,202842000.0,-0.6,0.11,SELL,20.78,24329.4
02/19/2023 18:52:39,1676850759.0,336271000.0,202775000.0,0.52,-0.0,BUY,39.7,24325.7
02/19/2023 18:52:45,1676850765.0,142474000.0,270668000.0,-1.36,0.25,SELL,47.36,24323.0
02/19/2023 18:52:53,1676850773.0,214588000.0,157719000.0,0.34,-0.72,BUY,26.5,24325.7
02/19/2023 18:53:00,1676850780.0,50819000.0,313285000.0,-3.22,0.5,SELL,83.78,24326.8
02/19/2023 18:53:05,1676850785.0,314283000.0,418098000.0,0.84,0.25,SELL,24.83,24326.8
02/19/2023 18:53:13,1676850793.0,273729000.0,383474000.0,-0.15,-0.09,SELL,28.62,24313.7
02/19/2023 18:53:40,1676850820.0,176613000.0,35276000.0,-0.55,-9.87,BUY,80.03,24311.6
02/19/2023 18:53:44,1676850824.0,113701000.0,311263000.0,-0.55,0.89,SELL,63.47,24311.6
02/19/2023 18:53:47,1676850827.0,42522000.0,225702000.0,-1.67,-0.38,SELL,81.16,24311.6
02/19/2023 18:53:58,1676850838.0,130178000.0,215051000.0,0.67,-0.05,SELL,39.47,24311.6
02/19/2023 18:53:58,1676850838.0,130178000.0,215051000.0,0.0,0.0,SELL,39.47,24337.2
02/19/2023 18:54:10,1676850850.0,129727000.0,321070000.0,-0.0,0.33,SELL,59.6,24334.2
02/19/2023 18:54:13,1676850853.0,119924000.0,273291000.0,-0.08,-0.17,SELL,56.12,24334.2
02/19/2023 18:54:15,1676850855.0,58518000.0,275860000.0,-1.05,0.01,SELL,78.79,24337.2
02/19/2023 18:54:24,1676850864.0,73565000.0,266248000.0,0.2,-0.04,SELL,72.37,24343.2
02/19/2023 18:54:28,1676850868.0,156854000.0,335954000.0,0.53,0.21,SELL,53.31,24342.1
02/19/2023 18:54:37,1676850877.0,82157000.0,233292000.0,-0.91,-0.44,SELL,64.78,24347.1
02/19/2023 18:54:41,1676850881.0,103686000.0,316150000.0,0.21,0.26,SELL,67.2,24348.8
02/19/2023 18:54:50,1676850890.0,198034000.0,217299000.0,0.48,-0.45,SELL,8.87,24340.5
02/19/2023 18:54:53,1676850893.0,258242000.0,224589000.0,0.23,0.03,BUY,13.03,24337.3
02/19/2023 18:55:03,1676850903.0,234437000.0,345167000.0,-0.1,0.35,SELL,32.08,24334.5
02/19/2023 18:55:06,1676850906.0,258758000.0,327887000.0,0.09,-0.05,SELL,21.08,24334.5
02/19/2023 18:55:17,1676850917.0,273574000.0,248385000.0,0.05,-0.32,BUY,9.21,24326.1
02/19/2023 18:55:21,1676850921.0,244718000.0,193462000.0,-0.12,-0.28,BUY,20.94,24326.1
